id,entity_type,entity_project,entity_id,stack_version,resource_version,policy_pack,policy_pack_tag,policy_name,resource_urn,resource_provider,resource_type,resource_name,message,observed_at,last_modified,level,status,kind,priority,severity,assigned_to,policy_group_name
f9e2f5ed-902b-48d7-b9ce-dcdf1216ecf8,stack,web-app,elisabeth,17,,hitrust-aws,2.6.3,security-group-default-deny,urn:pulumi:elisabeth::web-app::aws:ec2/securityGroup:SecurityGroup::app-sg,aws,aws:ec2/securityGroup:SecurityGroup,app-sg,"Ensures Security Groups follow default deny with explicit allow principle
Security Group ingress rule allows unrestricted access (0.0.0.0/0) on port 443. Security groups require default deny with explicit allow rules. Use specific CIDR blocks or security group references instead of 0.0.0.0/0.",2026-05-14T16:00:50Z,2026-05-14T16:00:50Z,advisory,open,audit,p4,high,,elisabeth-audit
eb50fd29-1f6d-4225-9ba6-87ea9ebe01bd,stack,web-app,elisabeth,17,,hitrust-aws,2.6.3,security-group-ssh-rdp,urn:pulumi:elisabeth::web-app::aws:ec2/securityGroup:SecurityGroup::app-sg,aws,aws:ec2/securityGroup:SecurityGroup,app-sg,"Ensures security groups do not allow SSH/RDP from the internet
Security group must not allow port ranges that include SSH (port 22) from 0.0.0.0/0. Direct SSH from the internet is prohibited.",2026-05-14T16:00:50Z,2026-05-14T16:00:50Z,advisory,open,audit,p4,critical,,elisabeth-audit
de024f89-769d-4809-b5d3-2b084ffd37a4,stack,web-app,elisabeth,17,,hitrust-aws,2.6.3,ec2-instance-disallow-unencrypted-root-block-device,urn:pulumi:elisabeth::web-app::aws:ec2/instance:Instance::web-server,aws,aws:ec2/instance:Instance,web-server,"Checks that EC2 instances does not have unencrypted root volumes.
EC2 instances should not have an unencypted root block device.",2026-05-14T16:00:50Z,2026-05-14T16:00:50Z,advisory,open,audit,p4,high,,elisabeth-audit
d4426385-8678-4c91-99bf-7b6255ee6622,stack,web-app,elisabeth,17,,hitrust-aws,2.6.3,environment-separation-tagging,urn:pulumi:elisabeth::web-app::aws:ec2/securityGroup:SecurityGroup::app-sg,aws,aws:ec2/securityGroup:SecurityGroup,app-sg,"Ensures that resources are tagged to distinguish between production and non-production environments
Resource must have an 'Environment' tag. This tag distinguishes between production and non-production environments for proper separation.",2026-05-14T16:00:50Z,2026-05-14T16:00:50Z,advisory,open,audit,p4,low,,elisabeth-audit
d0a5d177-44af-46f0-87ec-efe704d66869,stack,web-app,elisabeth,17,,elisabeth-workshop-policies,0.0.1,s3-public-bucket-requires-tls-policy,urn:pulumi:elisabeth::web-app::pulumi:pulumi:Stack::web-app-elisabeth,pulumi,pulumi:pulumi:Stack,web-app-elisabeth,"S3 buckets with a public-read ACL must have a bucket policy that denies non-TLS requests.
S3 bucket ""policies-wksp-elisabeth-assets"" has a public-read ACL but no bucket policy enforcing TLS.",2026-05-14T16:00:50Z,2026-05-14T16:00:50Z,mandatory,open,audit,p4,,,elisabeth-audit
bd7f16e6-ef8b-4ede-b133-f574b7c545a1,stack,web-app,elisabeth,17,,hitrust-aws,2.6.3,resource-tagging,urn:pulumi:elisabeth::web-app::aws:ec2/securityGroup:SecurityGroup::app-sg,aws,aws:ec2/securityGroup:SecurityGroup,app-sg,"Ensures all AWS resources must include tags for proper change tracking
Resource is missing required tags: user, wksp. These tags ensure proper tracking and documentation of changes made to information systems.",2026-05-14T16:00:50Z,2026-05-14T16:00:50Z,advisory,open,audit,p4,low,,elisabeth-audit
901f7397-f903-4666-b385-7e83a5dc2480,stack,web-app,elisabeth,17,,hitrust-aws,2.6.3,security-group-default-deny,urn:pulumi:elisabeth::web-app::aws:ec2/securityGroup:SecurityGroup::app-sg,aws,aws:ec2/securityGroup:SecurityGroup,app-sg,"Ensures Security Groups follow default deny with explicit allow principle
Security Group egress rule allows unrestricted access (0.0.0.0/0) on port 0. Security groups require explicit allow rules for egress traffic. Use specific CIDR blocks or security group references instead of 0.0.0.0/0.",2026-05-14T16:00:50Z,2026-05-14T16:00:50Z,advisory,open,audit,p4,high,,elisabeth-audit
8698d538-8199-42ae-9e67-5c3a1130ecb5,stack,web-app,elisabeth,17,,hitrust-aws,2.6.3,ec2-security-group-disallow-inbound-http-traffic,urn:pulumi:elisabeth::web-app::aws:ec2/securityGroup:SecurityGroup::app-sg,aws,aws:ec2/securityGroup:SecurityGroup,app-sg,"Check that EC2 Security Groups do not allow inbound HTTP traffic.
EC2 Security Groups should not allow ingress HTTP traffic.",2026-05-14T16:00:50Z,2026-05-14T16:00:50Z,advisory,open,audit,p4,critical,,elisabeth-audit
8158728b-58ab-4811-a405-7bb429d7ccc7,stack,web-app,elisabeth,17,,hitrust-aws,2.6.3,environment-separation-tagging,urn:pulumi:elisabeth::web-app::aws:ec2/instance:Instance::web-server,aws,aws:ec2/instance:Instance,web-server,"Ensures that resources are tagged to distinguish between production and non-production environments
Resource must have an 'Environment' tag. This tag distinguishes between production and non-production environments for proper separation.",2026-05-14T16:00:50Z,2026-05-14T16:00:50Z,advisory,open,audit,p4,low,,elisabeth-audit
76e580db-9974-4113-9e23-28dbf9aa1c44,stack,web-app,elisabeth,17,,hitrust-aws,2.6.3,security-group-default-deny,urn:pulumi:elisabeth::web-app::aws:ec2/securityGroup:SecurityGroup::app-sg,aws,aws:ec2/securityGroup:SecurityGroup,app-sg,"Ensures Security Groups follow default deny with explicit allow principle
Security Group ingress rule allows unrestricted access (0.0.0.0/0) on port 80. Security groups require default deny with explicit allow rules. Use specific CIDR blocks or security group references instead of 0.0.0.0/0.",2026-05-14T16:00:50Z,2026-05-14T16:00:50Z,advisory,open,audit,p4,high,,elisabeth-audit
